,ADA-USD,BCH-USD,BTC-USD,DOGE-USD,ETH-USD,LINK-USD,LTC-USD,MANA-USD,XLM-USD,XRP-USD,SPXT,XCMP,SOFR,VIX
ADA-USD,0.002647447299528809,0.00195759267848826,0.0014526987058365768,0.0021845692822292672,0.0020125817789516834,0.0024423145101256775,0.0019751406845928848,0.002674592849593092,0.0018602128414991733,0.0018770722681578198,0.0003780006299870374,0.0005158327874580476,-7.598169364424483e-08,-0.0013403244098523577
BCH-USD,0.00195759267848826,0.0024273503516566972,0.0014141225674145917,0.001989461465731373,0.0019482524709097794,0.002130567807227793,0.0019681502175320654,0.002213425296729066,0.001677899114123343,0.0017122400082014465,0.0003411043363599317,0.00045980615039860004,1.2315888604300388e-08,-0.0012815504087613629
BTC-USD,0.0014526987058365768,0.0014141225674145917,0.0012236420947595215,0.0014899428760860405,0.0015365550912021313,0.001527780642683416,0.0013590106995853668,0.001549556814273422,0.001221619407723052,0.0012607562982774778,0.00028661646284546086,0.0003775408718436224,3.560042962626191e-08,-0.0009865796277122721
DOGE-USD,0.0021845692822292672,0.001989461465731373,0.0014899428760860405,0.0037519105422026827,0.00210446639584096,0.0022233831870332615,0.001990471134827112,0.0024372074677321953,0.001723453045886123,0.001869762353770665,0.0004268366055578737,0.000563560160058862,8.98139870988278e-09,-0.001435269239851547
ETH-USD,0.0020125817789516834,0.0019482524709097794,0.0015365550912021313,0.00210446639584096,0.002384157070000145,0.002184060314044458,0.0019286882140712946,0.002191052239137485,0.001667372808221857,0.0017607088329314043,0.00036592714628180654,0.0004837761241283312,4.5503620783641656e-08,-0.0012809281820509975
LINK-USD,0.0024423145101256775,0.002130567807227793,0.001527780642683416,0.0022233831870332615,0.002184060314044458,0.00308277533605956,0.0021254664299052593,0.0027683182040452586,0.001934729074402722,0.0020332152216869233,0.0003729838132611101,0.0004949341814679447,1.3412789312101796e-07,-0.0013116985536664142
LTC-USD,0.0019751406845928848,0.0019681502175320654,0.0013590106995853668,0.001990471134827112,0.0019286882140712946,0.0021254664299052593,0.0022694648271912162,0.0022682749103753097,0.0016476649436060014,0.0017321305336116222,0.0003260086303127853,0.0004470806556162529,-5.3290637661799895e-08,-0.0012578725229344602
MANA-USD,0.002674592849593092,0.002213425296729066,0.001549556814273422,0.0024372074677321953,0.002191052239137485,0.0027683182040452586,0.0022682749103753097,0.004046748997982328,0.0021727444197382315,0.0022505778521569124,0.00043094521350312497,0.0005973239723591057,-1.2435515710757248e-08,-0.0014214033002319726
XLM-USD,0.0018602128414991733,0.001677899114123343,0.001221619407723052,0.001723453045886123,0.001667372808221857,0.001934729074402722,0.0016476649436060014,0.0021727444197382315,0.0018102655211195188,0.0017746744990610732,0.0002702687869797325,0.0003698532103527204,-6.490743409115181e-08,-0.0010403089221884079
XRP-USD,0.0018770722681578198,0.0017122400082014465,0.0012607562982774778,0.001869762353770665,0.0017607088329314043,0.0020332152216869233,0.0017321305336116222,0.0022505778521569124,0.0017746744990610732,0.0021645893049749864,0.0002856202869467581,0.00037951082909570036,2.413007992526974e-07,-0.0009956958861779969
SPXT,0.0003780006299870374,0.0003411043363599317,0.00028661646284546086,0.0004268366055578737,0.00036592714628180654,0.0003729838132611101,0.0003260086303127853,0.00043094521350312497,0.0002702687869797325,0.0002856202869467581,0.0002712548182699501,0.00033564006301497605,4.1875666478204e-08,-0.0008223786403446814
XCMP,0.0005158327874580476,0.00045980615039860004,0.0003775408718436224,0.000563560160058862,0.0004837761241283312,0.0004949341814679447,0.0004470806556162529,0.0005973239723591057,0.0003698532103527204,0.00037951082909570036,0.00033564006301497605,0.0004397220367798012,2.2034922551595406e-08,-0.0010094407530951521
SOFR,-7.598169364424483e-08,1.2315888604300388e-08,3.560042962626191e-08,8.98139870988278e-09,4.5503620783641656e-08,1.3412789312101796e-07,-5.3290637661799895e-08,-1.2435515710757248e-08,-6.490743409115181e-08,2.413007992526974e-07,4.1875666478204e-08,2.2034922551595406e-08,3.948963681400312e-09,3.035552704944885e-07
VIX,-0.0013403244098523577,-0.0012815504087613629,-0.0009865796277122721,-0.001435269239851547,-0.0012809281820509975,-0.0013116985536664142,-0.0012578725229344602,-0.0014214033002319726,-0.0010403089221884079,-0.0009956958861779969,-0.0008223786403446814,-0.0010094407530951521,3.035552704944885e-07,0.004050923007994743
